calc1,calc2,calc3,calc4,calc5,calc6,calc7,calc8,calc9,calc10,calc11,calc12,calc13,calc14,calc24,calc15,calc16,calc17,calc18,calc19,calc20,calc21,calc22,calc23,calc25,calc26,name
0,0,0,0,0,0,539624.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539624.22,539624.22,0,basse-pointe
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,carbet
0,0,0,0,0,0,0,0,0,0,0,0,0,0,363390,363390,0,0,0,0,0,0,0,0,363390,0,case-pilote
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,budget annexe communal za de plate-forme
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586839.46,1172388,0,0,0,0,414451.46,0,0,0,1586839.46,0,diamant
0,0,0,0,0,0,0,987259.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987259.46,987259.46,0,ducos
0,0,0,0,0,0,0,2886.72,0,0,0,0,0,0,-1188.88,0,-1188.88,0,0,0,0,0,0,2886.72,1697.8399999999997,0,fonds-saint-denis
1477264.72,0,13632.02,2.36,0,0,0,0,0,0,0,0,0,0,12504912.24,6031244,0,0,0,0,6473668.24,0,0,1490899.1,13995811.34,0,fort-de-france
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centre culturel municipal sermac f-de-f
0,0,0,0,0,0,0,0,0,0,0,126880,0,0,0,0,0,0,0,0,0,0,0,126880,126880,0,francois (le )
6211.98,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7411.98,7411.98,0,grand-riviere
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gros-morne
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lamentin (le )
6054240,0,15035.8,0,0,6189.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6075465.16,6075465.16,0,lorrain
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,macouba
0,0,0,0,0,0,0,0,0,0,0,0,0,0,67077.56,0,0,0,0,0,67077.56,0,0,0,67077.56,0,marigot
0,0,0,0,0,2965308,0,0,0,0,0,0,0,0,1515171.9,296966,0,0,0,0,1218205.9,0,0,2965308,4480479.9,0,marin (le )
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,morne-rouge
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,precheur
0,0,7320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7320,7320,0,riviere-pilote
634347.52,0,0,0,0,0,0,0,0,0,0,0,0,0,5094131.6,2322884,0,0,0,0,2771247.6,0,0,634347.52,5728479.119999999,0,riviere-salee
0,0,0,0,0,0,0,0,0,0,0,0,0,0,15053342.92,0,0,0,0,0,15053342.92,0,0,0,15053342.92,0,robert
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10324,10324,0,0,0,0,0,0,0,0,10324,0,saint-esprit
0,0,0,2.86,0,0,0,0,0,0,0,0,0,0,2357660.1,0,0,0,0,0,2357660.1,0,0,2.86,2357662.96,0,saint-joseph
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,energies renouvelables - saint joseph
347502.4,0,0,0,0,0,0,0,0,0,0,0,0,0,64806595.4,0,0,0,0,64806595.4,0,0,0,347502.4,65154097.8,0,saint-pierre
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sainte-anne
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sainte-luce
0,0,37101.2,0,0,0,0,0,0,0,0,0,0,0,125303.14,0,0,0,0,0,125303.14,0,0,37101.2,162404.34,0,sainte-marie
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cimetiere lasalle sainte-marie
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8960527.08,0,0,0,0,0,8960527.08,0,0,0,8960527.08,0,schoelcher
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,trinite (la )
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centre culturel trinite (la )
0,0,0,0,0,0,0,0,0,0,0,0,0,0,56342.84,0,0,0,0,56342.84,0,0,0,0,56342.84,0,parking payant trinite (la )
0,0,56470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56470,56470,0,trois-ilets (les)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,475627.98,0,0,0,0,475627.98,0,0,0,0,475627.98,0,regie autonome portuaire
0,0,360.94,0,0,0,0,0,0,0,0,0,0,0,3445568.2199999997,0,0,0,0,3443181.92,2386.3,0,0,360.94,3445929.1599999997,0,santeuil
0,0,0,0,0,0,0,0,0,0,0,0,0,0,65317834,65317834,0,0,0,0,0,0,0,0,65317834,0,sarcelles
1002994,0,0,0,0,0,0,0,0,0,0,0,0,0,30936,30936,0,0,0,0,0,0,0,1002994,1033930,0,seraincourt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,logts sociaux seraincourt
0,0,0,0,0,76.8,0,0,0,0,0,0,0,0,101756.3,0,0,0,0,0,101756.3,0,0,76.8,101833.1,0,seugy
0,0,0,0,254338.56,0,0,0,0,0,0,0,34494.3,0,6778464.279999999,34418.72,0,0,0,0,6744045.56,0,0,288832.86,7067297.14,0,soisy-sous-montmorency
0,0,156470.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156470.3,156470.3,0,survilliers
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,taverny
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,themericourt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theuville
0,0,0,0,0,1048.7,0,0,0,0,0,0,0,0,126822,126822,0,0,0,0,0,0,0,1048.7,127870.7,0,thillay (le )
0,0,0,0,0,0,0,0,0,0,0,0,0,0,146318,146318,0,0,0,0,0,0,0,0,146318,0,us
0,0,0,0,0,0,0,0,0,0,0,0,0,0,25623.5,2207.44,0,0,0,0,23416.06,0,0,0,25623.5,0,vallangoujard
0,0,0,0,0,0,0,73459.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73459.32,73459.32,0,valmondois
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vaudherland
0,0,590767.58,0,0,0,0,0,0,0,0,0,0,0,69545343.6,33850.1,0,0,0,69511493.5,0,0,0,590767.58,70136111.17999999,0,vaureal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cinema-vaureal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,240778.24,0,0,0,0,0,240778.24,0,0,0,240778.24,0,vemars
1059640,0,6760,0,0,0,0,0,0,0,0,0,0,0,-13777,0,-13777,0,0,0,0,0,0,1066400,1052623,0,vetheuil
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,eau et asst - vetheuil
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,viarmes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vienne-en-arthies
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,eau-vienne-en-arthies
0,0,0,0,0,0,0,0,0,0,0,0,0,0,38992.08,0,0,0,0,0,38992.08,0,0,0,38992.08,0,acquis logts soc-vienne arthies
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,asst - vienne en arthies
0,0,0,0,0,0,0,183165.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183165.88,183165.88,0,vigny
2396,0,0,0,0,7424.32,0,0,0,0,0,0,0,0,1749269.0999999999,5177.9,0,0,0,1744091.2,0,0,0,9820.32,1759089.42,0,villaines-sous-bois
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189102.34,0,0,0,0,0,1189102.34,0,0,0,1189102.34,0,petite-ile
4206490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4206490,4206490,0,la plaine des palmistes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lot petite plaine pl des palmi
0,0,136678.66,5842.26,0,0,0,0,0,0,0,27440.82,0,0,3821400.18,0,0,0,0,0,3821400.18,0,0,169961.74000000002,3991361.9200000004,0,le port
0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,1.16,0,pompes funebres le port
1742364.32,0,0,0,0,42387.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784752.04,1784752.04,0,la possession
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pompes funebres la possession
38097175.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38097175.58,38097175.58,0,saint-andre
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parc du colosse saint-andre
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anru ii saint-andre
0,0,0,578724.2,0,0,0,0,0,0,0,0,0,0,47400,47400,0,0,0,0,0,0,0,578724.2,626124.2,0,saint-benoit
0,0,645383.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645383.2,645383.2,0,saint-denis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,662075.82,0,0,0,0,0,662075.82,0,0,0,662075.82,0,marches saint-denis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pompes funebres saint-denis
0,0,67025.45999999999,0,0,480000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547025.46,547025.46,0,saint-leu
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pompes funebres saint-leu
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,saint-louis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,37758105.78,0,0,0,0,37571554.82,186550.96,0,0,0,37758105.78,0,saint-paul
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pompes funebres saint-paul
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pompes funebres saint-pierre
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,regie port saint-pierre
0,0,434,0,0,0,0,0,0,0,0,0,0,0,272494,272494,0,0,0,0,0,0,0,434,272928,0,saint-philippe
